認証番号,店名,住所,更新日
1868,酒房 弥生,福井県越前市北府町3-3-2,2021-08-11
1865,出村北前茶屋,福井県坂井市三国町神明2-6-27,2021-08-11
1864,水車,福井県今立郡池田町稲荷10-36-1,2021-08-11
1862,赤れんが café,福井県敦賀市金ヶ崎町4-1,2021-08-11
1860,吉田食堂,福井県越前市若竹町11-24,2021-08-11
1859,まんざらや むっちゃん,福井県福井市新田塚町701-3 Nファインシティビル1F,2021-08-11
1857,美味食楽 八張,福井県福井市高木中央2-3502-2,2021-08-11
1856,テアトロ,福井県敦賀市平和町13-20,2021-08-11
1854,焼肉・肉料理 華炎,福井県鯖江市川島町66-27-1,2021-08-11
1853,桃花園,福井県敦賀市莇生野96-8-6,2021-08-11
1852,長尾と珈琲,福井県今立郡池田町板垣51-13-3,2021-08-11
1851,魚忠,福井県大野市本町2-9,2021-08-11
1850,すとーりー,福井県大飯郡高浜町和田122-27-1,2021-08-11
1849,たき八,福井県坂井市春江町西太郎丸5-6-1,2021-08-11
1846,居酒屋 むげん,福井県福井市大和田2-202 opmビル104,2021-08-11
1844,wacca,福井県今立郡池田町野尻11-3 わくラボ内,2021-08-11
1843,Dining☆Bar Flapper,福井県福井市高木北1-1014,2021-08-11
1842,喫茶 まるやまパートⅡ,福井県鯖江市水落町1-14-9,2021-08-11
1840,居酒屋 きんぼし,福井県小浜市駅前町6-2,2021-08-11
1839,CAFE ＆ DINING EpicDays,福井県敦賀市木崎24-5-2,2021-08-11
1838,山本鮮魚店,福井県敦賀市沢68-10,2021-08-11
1836,炭焼やきとり 一番 敦賀駅前店,福井県敦賀市白銀町4-12,2021-08-11
1833,手毬,福井県福井市福町31-1 鷲田ビル1F,2021-08-11
1832,cafe & bar HIJIRI,福井県勝山市元町1-11-17,2021-08-11
1831,魚白木,福井県勝山市沢町1-6-9,2021-08-11
1829,NY BLANCHE,福井県坂井市丸岡町一本田中34-56,2021-08-11
1828,軽食喫茶 ひまわり,福井県福井市志比口2-4-1,2021-08-11
1826,エンゼル コーヒー,福井県坂井市丸岡町下安田26-15-2,2021-08-11
1823,絆,福井県小浜市駅前町26-16-37,2021-08-11
1821,居酒屋 よっちゃん,福井県福井市渕2-820 塚谷ビル106,2021-08-11
1819,８番らーめん 敦賀木崎店,福井県敦賀市木崎4-11-2,2021-08-11
1817,みどりや,福井県鯖江市石田上町44-10,2021-08-11
1814,ミユキ,福井県小浜市駅前町4-28,2021-08-11
1812,MⅡK,福井県小浜市小浜白鬚40,2021-08-11
1811,K's Bar ZERO,福井県敦賀市清水町1-18-9,2021-08-11
1809,SPEAKEASY Rouge,福井県大飯郡おおい町成和2-1-113,2021-08-11
1807,フラミンゴ,福井県越前市平出2-4-11,2021-08-11
1806,中島屋,福井県福井市勝見3-3-14,2021-08-11
1804,越麺屋,福井県福井市黒丸町14-48-1,2021-08-11
1803,小西屋 別館,福井県三方上中郡若狭町常神5-2-1,2021-08-11
1802,若狭の宿 きよや,福井県三方上中郡若狭町世久見39-11-1,2021-08-11
1799,民宿 やそべ,福井県三方郡美浜町日向10-22,2021-08-11
1797,道の駅 河野,福井県南条郡南越前町大谷86-1,2021-08-11
1795,sajispace,福井県坂井市三国町川崎54-13-6,2021-08-11
1793,スナック 沙月,福井県福井市順化1-17-25 津々美第二ビル1F,2021-08-11
1792,味処 髙良,福井県坂井市丸岡町羽崎5-6-1,2021-08-11
1786,ステーキレストラン 三好楼,福井県坂井市三国町米ケ脇4-4-16,2021-08-11
1785,割烹 とりや,福井県坂井市三国町神明2-1-2,2021-08-11
1784,勝ち飯レストラン 厨ぼうず,福井県勝山市長山町1-5-50,2021-08-11
1783,魚山内,福井県勝山市鹿谷町保田99-5,2021-08-11
1782,サバラン,福井県勝山市元町1-6-16,2021-08-11
1780,ヨーロッパ軒 大宮分店,福井県福井市大宮3-14-11,2021-08-11
1779,悠珈琲店,福井県福井市文京7-9-26,2021-08-11
1778,ぷーとん・麺りん,福井県福井市花堂南2-16-1 ショッピングシティベル2F,2021-08-11
1773,玉寿司,福井県あわら市春宮1-11-23,2021-08-11
1772,喫茶＆カラオケ CoCo,福井県福井市町屋1-3-5 マルタケビル1F,2021-08-11
1771,café de rimari ,福井県福井市成和2-1103,2021-08-11
1770,備長和串 いこる,福井県坂井市三国町安島64-1-51-11,2021-08-11
1769,MEVIUS,福井県福井市順化2-20-13 友邦ビル3F,2021-08-11
1767,カラオケ KAZU,福井県福井市町屋1-3-5 マルタケビル1F南,2021-08-11
1765,想作居酒屋 SEI,福井県福井市学園2-8-22,2021-08-11
1764,lounge 31,福井県越前市村国3-17-5 You上の島ビル1-E,2021-08-11
1763,スナック つくしんぼ,福井県敦賀市清水町1-20-17-1 Himeビル1F,2021-08-11
1762,ミスタードーナツ 堀の宮ショップ,福井県福井市文京6-33-2,2021-08-11
1761,ミスタードーナツ パリオショップ,福井県福井市松城町12-7,2021-08-11
1760,ミスタードーナツ 福井二の宮ショップ,福井県福井市二の宮3-27-22,2021-08-11
1759,ミスタードーナツ 三国イーザショップ,福井県坂井市三国東5-1-20,2021-08-11
1758,居酒屋 かかし,福井県福井市日光2-8-13,2021-08-11
1755,笑人堂,福井県大野市元町5-23,2021-08-11
1754,竹留,福井県勝山市沢町1-7-22,2021-08-11
1753,シェ・サカイ,福井県福井市田原1-7-10 シャトレー田原101,2021-08-11
1751,焼肉 かなや,福井県丹生郡越前町梅浦84-1-3,2021-08-11
1748,かじや,福井県坂井市春江町西長田12-1,2021-08-11
1746,喫茶 パイン,福井県敦賀市白銀町1-15,2021-08-11
1745,田嶋屋,福井県大野市新庄19-19-1,2021-08-11
1742,ヌーブ,福井県丹生郡越前町西田中4-503,2021-08-11
1740,カラオケ処 みるく,福井県鯖江市三六町2-502,2021-08-11
1738,カフェ＆レスト サンマリノ,福井県越前市葛岡町13-8-1,2021-08-11
1736,魚島田,福井県勝山市下毛屋2-7-5,2021-08-11
1735,パセリ,福井県勝山市下毛屋2-7-5,2021-08-11
1734,スナック イーズ,福井県小浜市大手町 もりしまビル2F,2021-08-11
1733,日本料理 しくら,福井県越前市蓬莱町5-10,2021-08-11
1732,Snack M'sR,福井県小浜市大手町9-2 末広ビル1F,2021-08-11
1731,タイ料理 ナームチャイ,福井県越前市府中3-14-28,2021-08-11
1730,レスト 花門,福井県坂井市丸岡町一本田5-20-1,2021-08-11
1727,ビリオン珈琲 運動公園前店,福井県福井市若杉3-1705,2021-08-11
1724,肴家 奏,福井県あわら市温泉3-201 あわら温泉屋台村湯けむり横丁内,2021-08-11
1723,SABAR 鯖街道小浜田烏店,福井県小浜市田烏63-14-1,2021-08-11
1722,ろくべえ,福井県越前市国高2-42-7,2021-08-11
1721,藤雅,福井県鯖江市日の出町2-1 駅前ビル1F,2021-08-11
1720,ごはんや Temana,福井県鯖江市丸山町1-6-25,2021-08-11
1719,Chinese Restaurant Fun,福井県福井市花堂東2-414,2021-08-11
1718,さくら茶屋 バロー福井南店,福井県福井市下馬3-418,2021-08-11
1717,tsukiatari,福井県福井市岩倉町11-6,2021-08-11
1716,カレーハウス CoCo壱番屋 敦賀本町店,福井県敦賀市本町2-7-23,2021-08-11
1715,カレーランド,福井県坂井市丸岡町霞町3-1-3 一筆啓上茶屋内,2021-08-11
1714,喫茶 アゲイン,福井県福井市町屋1-2-15,2021-08-11
1711,焼肉 大元,福井県福井市若杉4-724,2021-08-11
1710,居酒屋 AJIKO,福井県大野市水落町5-12,2021-08-11
1709,まるさん屋,福井県敦賀市白銀町6-41,2021-08-11
1708,きなり,福井県大野市明倫町11-8 ポポロ.5内,2021-08-11
1706,カフェランチ ありがたや,福井県坂井市坂井町徳分田36-14-2,2021-08-11
1704,麻雀 ビーバー,福井県福井市米松1-15-22,2021-08-11
1700,味の王様 大野店,福井県大野市美川町9-19,2021-08-11
1697,軍鶏家 おかめ,福井県越前市妙法寺町412,2021-08-11
1696,セントピアあわら 喫茶,福井県あわら市温泉4-305,2021-08-11
1695,旬彩ダイニング 舎夢,福井県福井市高木中央1-2903-1,2021-08-11
1694,旬彩ダイニング 王様の食卓,福井県越前市塚町306,2021-08-11
1693,らあめん屋 みらく,福井県敦賀市白銀町11-5 アルプラザ敦賀6F,2021-08-11
1692,Cafe Seasons,福井県小浜市小浜白鬚111-1 小浜市まちの駅,2021-08-11
1691,豚ちんかん 鯖江,福井県鯖江市三六町1-14-7,2021-08-11
1687,AQUA,福井県大野市吉野町119-1,2021-08-11
1686,むつのはな,福井県鯖江市河和田町24-13,2021-08-11
1685,喫茶 ジョイント,福井県福井市大願寺1-4-17,2021-08-11
1681,酒菜屋 どんど,福井県小浜市小浜白鬚37 D-1ビル1F,2021-08-11
1679,Frida,福井県福井市西谷2-2307-1,2021-08-11
1678,自家製粉 十割蕎麦 生蕎庵,福井県越前市千原町7-7,2021-08-11
1671,カラオケ喫茶 エリザベス,福井県福井市舞屋町23-2,2021-08-11
1669,カフェ レボ,福井県福井市春日3-916-1,2021-08-11
1668,スナック 美和,福井県大野市大和町3-34,2021-08-11
1667,ビリオン珈琲 鯖江店,福井県鯖江市小黒町3-901,2021-08-11
1665,スナック ハッピーナイト,福井県越前市桂町4-9,2021-08-11
1663,ダイニング＆カラオケ てっぱん,福井県勝山市滝波町2-119,2021-08-11
1662,プラチナ,福井県小浜市小浜白鬚37 D-1ビル3F,2021-08-11
1661,民なのお宿 かわもと,福井県丹生郡越前町高佐16-18-3,2021-08-11
1660,スナック コップンカー,福井県福井市順化2-20-17 セレクトシティ片町3F,2021-08-11
1657,秋吉 豊岡店,福井県福井市光陽4-3-24,2021-08-11
1652,スナック アイ,福井県越前市桂町5-9,2021-08-11
1651,Snack 花,福井県越前市桂町4-11,2021-08-11
1650,荒島テラス,福井県大野市蕨生137-21-1,2021-08-11
1649,Verry Berry,福井県敦賀市清水町1-21-18 三宅ビル2F,2021-08-11
1647,旅館 甚平,福井県丹生郡越前町玉川41-2-1,2021-08-11
1644,秀竹旅館,福井県丹生郡越前町玉川39-22,2021-08-11
1643,民宿 はるみ,福井県丹生郡越前町米ノ71-49-17,2021-08-11
1641,越前そば 西村屋,福井県福井市北四ツ居2-1-5,2021-08-11
1640,ゲスト,福井県大飯郡高浜町湯谷1-22-3,2021-08-11
1639,ネイビーブルー,福井県大飯郡おおい町本郷154-1-6,2021-08-11
1638,やまじん,福井県三方郡美浜町日向13-72,2021-08-11
1637,菜な花,福井県福井市二の宮3-23-32,2021-08-11
1636,軽食 おまっとさん,福井県三方上中郡若狭町気山116-22-1,2021-08-11
1635,手打ちそば処 七間本陣,福井県大野市元町3-20,2021-08-11
1634,竹下食堂,福井県南条郡南越前町東大道28-8-7,2021-08-11
1633,福井県自治会館食堂,福井県福井市西開発4-202-1,2021-08-11
1631,キッチンラグー,福井県小浜市竜前5-13-1,2021-08-11
1629,こんぴら亭 本店,福井県福井市問屋町4-117,2021-08-11
1627,BEATO,福井県福井市文京6-21-17,2021-08-11
1626,美術館喫茶室 ニホ,福井県福井市文京3-16-1,2021-08-11
1625,和風料理 美の正,福井県敦賀市津内町2-8-8,2021-08-11
1622,P's cafe KHAANAA,福井県越前市府中1-13-7 越前市役所1F,2021-08-11
1621,魚清,福井県鯖江市北中町23-33,2021-08-11
1620,urarabi,福井県福井市順化2-12-14 プリンスビル301,2021-08-11
1618,めん亭 いろは栄,福井県大野市春日155-14-1,2021-08-11
1617,コメダ珈琲店 大野インター店,福井県大野市中保9-14-1,2021-08-11
1616,敦賀 コンパ,福井県敦賀市清水町1-22-20,2021-08-11
1614,カラオケ喫茶 スナック ともちゃん,福井県福井市文京6-14-28,2021-08-11
1613,料亭 天狗楼,福井県鯖江市本町2-1-25,2021-08-11
1612,割烹 加藤,福井県越前市高瀬1-3-32,2021-08-11
1611,希望,福井県越前市国府1-10-25,2021-08-11
1610,寿しひろ,福井県福井市御幸3-9-7,2021-08-11
1609,Cafe はぁとの葉っぱ,福井県坂井市三国町北本町2-1-20 三国駅舎内,2021-08-11
1608,お食事処 れいちゃん,福井県福井市茱崎町13-23-19,2021-08-11
1607,焼肉 輝,福井県大野市春日174-7-6,2021-08-11
1606,喫茶室 ベル・カフェ,福井県あわら市温泉5-1502,2021-08-11
1603,カフェ メルカード ミサキ,福井県小浜市大手町7-1,2021-08-11
1601,カラオケ喫茶 ゆうらん,福井県三方郡美浜町早瀬1-5,2021-08-11
1600,新バリバリ,福井県福井市光陽2-1-19,2021-08-11
1599,福彩り食堂 のむら屋,福井県勝山市元町2-13-32,2021-08-11
1598,お食事処 味美家,福井県福井市日之出1-17-20,2021-08-11
1594,カメハメハ大農場の農家カフェ&スイーツ,福井県あわら市温泉1-210,2021-08-11
1590,カフェ・ド リド,福井県福井市舟橋新1-205,2021-08-11
1589,ふくいふるさと茶屋 杵と臼,福井県福井市上東郷町22-7,2021-08-11
1586,お食事処 佳,福井県鯖江市杉本町30-14-3,2021-08-11
1585,はんなり鮨,福井県坂井市三国町加戸119-17-15,2021-08-11
1584,スナック 麗,福井県勝山市滝波町2-304-1,2021-08-11
1583,焼肉たむら 福井大和田店,福井県福井市大和田2-422,2021-08-11
1582,カラオケ喫茶 永遠,福井県越前市北府2-15-15,2021-08-11
1581,ブックカフェ ゴドー,福井県越前市府中1-9-19,2021-08-11
1580,九・九八,福井県福井市福1-1609,2021-08-11
1579,旬彩割烹 吟楽,福井県福井市二の宮4-46-25,2021-08-11
1578,小料理 おそめ,福井県越前市京町1-4-35,2021-08-11
1577,ORENO 燻 IBUSHI,福井県大野市有明町19-10,2021-08-11
1575,焼肉 銀月,福井県坂井市丸岡町霞町2-16-13,2021-08-11
1574,そば処 風りん亭,福井県坂井市春江町随応寺16-11 アル・プラザアミ店内,2021-08-11
1572,魚味創房 のの庵,福井県福井市文京5-13-33,2021-08-11
1571,アロマハウス,福井県福井市文京3-10-10,2021-08-11
1570,大森料亭,福井県坂井市丸岡町本町3-41,2021-08-11
1569,立喰そば まんよう,福井県越前市葛岡町13-8-4,2021-08-11
1568,マロンパラダイス,福井県坂井市春江町江留上昭和139,2021-08-11
1567,チポラ,福井県大野市中荒井町2-418,2021-08-11
1565,めん屋 ここ,福井県敦賀市本町1-10-4,2021-08-11
1564,カラオケ喫茶 ちゃちゃ,福井県福井市文京1-24-10,2021-08-11
1562,福禄寿し,福井県敦賀市若葉町1-1531 日本海さかな街内A棟,2021-08-11
1560,月の都のかぐや姫,福井県鯖江市住吉1-1-20,2021-08-11
1559,スナック きよmi,福井県敦賀市清水町1-18-9 神原ビル2F,2021-08-11
1557,カフェ＆スナック 麗,福井県大野市春日3-19-9,2021-08-11
1555,COLO,福井県越前市村国1-14-2,2021-08-11
1553,つる庵,福井県越前市北府2-15-13,2021-08-11
1551,スナック 浪,福井県小浜市小浜竜田7,2021-08-11
1548,BRICK HOUSE,福井県三方郡美浜町郷市13-2-1,2021-08-11
1546,焼肉 喰太呂,福井県福井市文京6-20-2,2021-08-11
1544,こっしぇるん。 かふぇ,福井県鯖江市水落町25-28 文化の館内,2021-08-11
1542,ブラック,福井県敦賀市呉竹町2-5-25,2021-08-11
1541,居酒屋 市兵衛,福井県敦賀市清水町1-19-11,2021-08-11
1540,カラオケ喫茶 さんぽみち,福井県福井市杉谷町23-44-4,2021-08-11
1539,Saba Cafe,福井県三方上中郡若狭町熊川12-16-1,2021-08-11
1538,Café & rounge MAI,福井県福井市月見3-2-28,2021-08-11
1535,浜茶屋 よっちゃん,福井県坂井市三国町浜地先 浜地海水浴場内,2021-08-11
1534,Industrial shop&Bar Craft,福井県福井市春山1-7-12 エレガント春山1F,2021-08-11
1533,お好み焼 彩か,福井県丹生郡越前町天王20-4-23,2021-08-11
1532,カフェ ラグタイム クラシックス,福井県越前市幸町4-7,2021-08-11
1531,和田屋,福井県福井市今市町1-9,2021-08-11
1530,食事処 潤,福井県敦賀市鋳物師町5-23,2021-08-11
1528,居酒屋 Ｊ,福井県大野市神明町203,2021-08-11
1527,居酒屋 楽家,福井県大野市若杉町1112,2021-08-11
1524,はなまるうどん 福井開発店,福井県福井市開発4-407-1,2021-08-11
1522,きゃぷせら,福井県越前市北府2-15-15 北府ビル,2021-08-11
1521,レストラン ジャムハウス,福井県越前市芝原5-20-24,2021-08-11
1520,酒房 ぼんくら,福井県福井市順化2-20-2 エルミオーレビル2F,2021-08-11
1518,そば処 庄境屋,福井県越前市京町1-1-20,2021-08-11
1517,福井競輪売店組合,福井県福井市明里町2-65,2021-08-11
1516,権兵衛,福井県鯖江市本町2-1-22,2021-08-11
1515,cocolono 蔵Café,福井県福井市上野町10-23,2021-08-11
1512,Woo ｋYon's Kitchen,福井県あわら市温泉5-1302 ハイム松月101号,2021-08-11
1510,畝来 -ウラ-,福井県南条郡南越前町河野2-16,2021-08-11
1509,お食事処 あらいそ,福井県南条郡南越前町糠11-9,2021-08-11
1507,民宿 与利喜,福井県南条郡南越前町糠106-1-11,2021-08-11
1506,お食事処 やまひさ,福井県南条郡南越前町河野19-6,2021-08-11
1504,ふじ乃旅館,福井県南条郡南越前町甲楽城12-35,2021-08-11
1503,旅館 はま屋,福井県南条郡南越前町糠12-9,2021-08-11
1502,民宿 ながしま荘,福井県南条郡南越前町糠106-1-3,2021-08-11
1501,民宿 たまむら,福井県南条郡南越前町糠12-14,2021-08-11
1500,料理旅館 清海館,福井県南条郡南越前町糠12-31,2021-08-11
1498,うみの宿 さへい,福井県南条郡南越前町糠12-21,2021-08-11
1497,料理旅館 さかえ荘,福井県南条郡南越前町糠222-29,2021-08-11
1496,御宿・お食事処 小鉄,福井県丹生郡越前町午房ケ平19鎌岩34,2021-08-11
1493,民宿 あお来,福井県南条郡南越前町糠長島106-1-6,2021-08-11
1492,民宿 泉,福井県南条郡南越前町糠106-1-26,2021-08-11
1491,お食事処 甲楽城売店,福井県南条郡南越前町甲楽城7-33-2,2021-08-11
1489,彦亭,福井県あわら市大溝1-27-45,2021-08-11
1485,大西旅館,福井県丹生郡越前町米ノ62-52-2,2021-08-11
1484,ららら,福井県福井市日光2-16-9,2021-08-11
1482,きはち屋 学園店,福井県福井市学園2-12-13,2021-08-11
1481,海鮮アトム 若杉店,福井県福井市若杉3-1703,2021-08-11
1479,割烹 峰,福井県勝山市郡町1-230,2021-08-11
1478,北陸 福井 あわら温泉 美松,福井県あわら市舟津26-10,2021-08-11
1477,さんじのおやつ（うさぎぐみ）,福井県福井市松城町12-7 パリオCiTY2F フードコート内,2021-08-11
1476,さんじのおやつ,福井県福井市米松1-9-7 パークサイド吉川101,2021-08-11
1474,お食事＆喫茶 ゆかり,福井県勝山市元町3-6-23,2021-08-11
1473,Riz et R,福井県丹生郡越前町内郡14-8,2021-08-11
1472,kitchen house GARBO,福井県小浜市駅前町7-5 2F,2021-08-11
1471,扇屋旅館,福井県大野市泉町6-10,2021-08-11
1469,道とん掘 高木店,福井県福井市高木中央1-106,2021-08-11
1468,越前そば処 勝食,福井県勝山市郡町1-264,2021-08-11
1467,Cafeteria 味菜,福井県福井市文京3-9-1,2021-08-11
1465,漁火の宿しまや,福井県丹生郡越前町茂原5-13,2021-08-11
1464,夜かん飛紅,福井県小浜市小浜酒井1-12,2021-08-11
1460,アイザワ商店,福井県小浜市加茂78-5,2021-08-11
1459,カラオケCAFÉ＆snack 笑,福井県福井市日之出5-9-10 黒川マンション1F,2021-08-11
1458,韓国居酒屋 集 -もいせ-,福井県敦賀市白銀町7-7,2021-08-11
1457,群青,福井県福井市大和田1-101,2021-08-11
1454,清風荘,福井県あわら市温泉3-803,2021-08-11
1452,宝来屋,福井県小浜市上野30-22-1,2021-08-11
1451,酒楽旬魚 ごう 鯖江店,福井県鯖江市五郎丸町235,2021-08-11
1448,上々屋 横市店,福井県越前市横市町5-6,2021-08-11
1447,上々屋 舞屋店,福井県福井市舞屋町2-13,2021-08-11
1444,ニューサンピア敦賀,福井県敦賀市呉羽町2,2021-08-11
1443,ラウンジ カリスマ,福井県小浜市駅前町2-4 Ｎビル2F,2021-08-11
1442,かくれんぼ,福井県小浜市駅前町19-40-3,2021-08-11
1441,Ray,福井県小浜市小浜酒井56,2021-08-11
1440,魚玉木,福井県勝山市芳野町1-4-9,2021-08-11
1439,旅館 金森,福井県三方郡美浜町日向10-65,2021-08-11
1436,ラポーゼかわだ お食事処 ほたる,福井県鯖江市上河内町19-37-2,2021-08-11
1434,道の駅 一乗谷あさくら水の駅,福井県福井市安波賀中島町1-1-1,2021-08-11
1429,きはちらくはち やしろ店,福井県福井市渕2-1005,2021-08-11
1425,きはちらくはち 花堂店,福井県福井市花堂北1-12-25 2F,2021-08-11
1421,牛角 羽水店,福井県福井市羽水1-607-1,2021-08-11
1420,牛角 鯖江店,福井県鯖江市神中町2-9-24,2021-08-11
1418,マクドナルド 敦賀アクロスプラザ店,福井県敦賀市古田刈28-1-1,2021-08-11
1417,マクドナルド 27号小浜店,福井県小浜市遠敷8-702-4,2021-08-11
1416,民宿 平田かざえもん,福井県大飯郡高浜町和田122-2-1,2021-08-11
1415,Steak&Wine ぼたん亭,福井県敦賀市新松島町3-8,2021-08-11
1413,櫛川寮 別館,福井県敦賀市櫛川93-304,2021-08-11
1410,名水手打そば お清水,福井県大野市泉町3-8,2021-08-11
1407,坂井市竹田農山村交流センター ちくちくぼんぼん,福井県坂井市丸岡町山口60-8,2021-08-11
1406,８番らーめん 二の宮店,福井県福井市二の宮2-201-1,2021-08-11
1402,８番らーめん 米松店,福井県福井市米松1-1604,2021-08-11
1401,８番らーめん 御幸店,福井県福井市御幸3-16-31,2021-08-11
1399,浄法寺屋,福井県大野市本町6-24,2021-08-11
1397,フレンチの杜 moment de joie（神明神社参集殿）,福井県福井市宝永4-8-1,2021-08-11
1395,民宿旅館 小林,福井県丹生郡越前町米ノ71-49-37,2021-08-11
1394,金龍,福井県丹生郡越前町厨17-51-2,2021-08-11
1390,sobar's,福井県越前市府中1-12-2,2021-08-11
1388,ガスト 福井坂井店,福井県坂井市坂井町下新庄16-25,2021-08-11
1386,トマト＆オニオン 高木店,福井県福井市高木中央2-3410,2021-08-11
1385,トマト＆オニオン 三国イーザ店,福井県坂井市三国町三国東5-1-20,2021-08-11
1384,トマト＆オニオン 小浜店,福井県小浜市和久里11石塔前22,2021-08-11
1383,トマト＆オニオン 敦賀木崎店,福井県敦賀市木崎12,2021-08-11
1381,じゅうじゅうカルビ 福井南店,福井県福井市江守中1-1810,2021-08-11
1379,ガスト 福井文京店,福井県福井市文京5-15-29,2021-08-11
1377,ガスト 敦賀店,福井県敦賀市白銀町13-39,2021-08-11
1375,むさしの森珈琲 福井若杉店,福井県福井市若杉2-1540,2021-08-11
1374,ガスト 鯖江店,福井県鯖江市糺町33-1-9,2021-08-11
1372,楓,福井県勝山市鹿谷町発坂11-37,2021-08-11
1370,えちぜん 丸太屋,福井県丹生郡越前町梅浦114-92-1,2021-08-11
1369,蕎麦café Maruta屋,福井県丹生郡越前町梅浦114-92-1,2021-08-11
1368,Vecchietta,福井県福井市加茂河原1-4-5,2021-08-11
1364,スキージャム勝山 グランドカフェ,福井県勝山市170-70,2021-08-11
1363,スキージャム勝山 伊炉里,福井県勝山市170-70,2021-08-11
1362,スキージャム勝山 ウインドブレイク,福井県勝山市170-70,2021-08-11
1361,きざき旅館,福井県小浜市塩竈60,2021-08-11
1353,しゃぶしゃぶ温野菜 敦賀店,福井県敦賀市若葉町1-1555,2021-08-11
1350,美Bi,福井県福井市二の宮2-8-16,2021-08-11
1348,テキサスハンズ 武生店,福井県越前市新町3-3-13,2021-08-11
1347,さかな遊びの宿 やまちょう,福井県福井市両橋屋町23-40,2021-08-11
1344,酔虎 夢,福井県今立郡池田町土合皿尾4-5-9,2021-08-11
1342,カフェ＆ランチ 室,福井県勝山市立川町1-16-16,2021-08-11
1341,焼肉家 優,福井県福井市下馬3-1504,2021-08-11
1340,魚処 定吉,福井県敦賀市蓬莱町17-25 2F,2021-08-11
1339,長兵衛,福井県勝山市片瀬町2-515,2021-08-11
1338,コーヒーハウス COCO,福井県福井市みのり4-6-7,2021-08-11
1337,ティラウンジ 亜茶,福井県大野市国時町1012,2021-08-11
1336,カラオケ喫茶 ニューアマーレ,福井県福井市下江守町4-10-2,2021-08-11
1331,魚きん 野呂魚店,福井県大野市木本58-23,2021-08-11
1329,すなっく きみchan,福井県小浜市小浜清滝92,2021-08-11
1328,kitchen＆Bar OPEN UP,福井県大野市元町2-16,2021-08-11
1326,コーヒーハウス ホームズ,福井県福井市河増町21-60-3,2021-08-11
1325,カフェード・パーク,福井県坂井市丸岡町猪爪1-314,2021-08-11
1324,大門魚店,福井県鯖江市河和田町17-3-1,2021-08-11
1322,与平寿司,福井県坂井市三国町神明2-1-20,2021-08-11
1321,中村商店,福井県小浜市水取1-5-6,2021-08-11
1319,野坂鮮魚店,福井県福井市石盛2-2005,2021-08-11
1318,うたごえ喫茶 ふれあい 丸岡店,福井県坂井市丸岡町東洋2-92,2021-08-11
1317,うたごえ喫茶 ふれあい 大野店,福井県大野市中挾1-1407,2021-08-11
1316,照手 松寿司,福井県福井市照手2-1-11,2021-08-11
1315,てるてる坊主,福井県福井市照手1-11-12 コーポ南部1F,2021-08-11
1312,茶屋 希舟,福井県小浜市小浜貴船68-2,2021-08-11
1309,料理・仕出し おなが,福井県福井市半田町4-32,2021-08-11
1308,笑楽,福井県越前市北府3-27 八田ビル1F,2021-08-11
1307,はなまるうどん 8号線鯖江店,福井県鯖江市神中町2-57,2021-08-11
1304,プラス１,福井県福井市みのり4-12-6,2021-08-11
1300,中華 寿楽,福井県福井市文京3-14-1 明春コーポ105,2021-08-11
1298,スナック きゃっつ愛,福井県小浜市小浜住吉28 吉田ビル1F,2021-08-11
1297,ダイニングカラオケ 東煬（トウヨウ）,福井県敦賀市神楽町1-1-11,2021-08-11
1296,Cafe C'est la vie,福井県越前市上太田町29-7-1,2021-08-11
1295,ファストフード 和洋菓子 あかお,福井県小浜市駅前町6-38,2021-08-11
1294,マクドナルド 春江店,福井県坂井市春江町随応寺23-10-1,2021-08-11
1293,いろは,福井県越前市粟田部町31-19,2021-08-11
1291,ＭiMi,福井県福井市毛矢3-2-2,2021-08-11
1289,若竹食堂,福井県越前市深草2-2-11,2021-08-11
1288,かつ昇,福井県坂井市坂井町蔵垣内32-19-10,2021-08-11
1286,29BAR million,福井県小浜市小浜竜田20-2,2021-08-11
1285,ブルーライト ヨコヤマ,福井県大飯郡高浜町和田118-30-1 カミヤビル1F,2021-08-11
1283,道の駅 越前 お食事処 かねいち,福井県丹生郡越前町厨71-355-1,2021-08-11
1282,カラオケ 鶯,福井県勝山市遅羽町ほうき52-1,2021-08-11
1280,うお吟,福井県敦賀市相生町21-3,2021-08-11
1277,喫茶 椀椀,福井県鯖江市西袋町40-1-2 うるしの里会館内,2021-08-11
1275,和田集会所,福井県大飯郡高浜町安土2-1-2,2021-08-11
1270,８番らーめん 大野店,福井県大野市陽明町3-607,2021-08-11
1269,居酒屋 桃太郎,福井県坂井市丸岡町一本田27-12-14,2021-08-11
1268,カラオケ喫茶 歌宴,福井県敦賀市本町1-14-27,2021-08-11
1267,魚又,福井県越前市吾妻町5-13,2021-08-11
1264,スナック みどり,福井県大野市弥生町7-20 サミットビルPART2,2021-08-11
1263,おおい町情報交差点 ぽーたる,福井県大飯郡おおい町本郷153-26-1,2021-08-11
1262,寿司 魚新,福井県あわら市舟津48-19-5,2021-08-11
1261,蕎麦屋 竹もり,福井県敦賀市野神26-4-11,2021-08-11
1256,Refrein,福井県福井市順化2-20-1 ランドマーク3F,2021-08-11
1255,かつ時 鯖江店,福井県鯖江市下河端町6-15-5,2021-08-11
1254,焼肉ビアホール 炭火館,福井県坂井市丸岡町猪爪3-201,2021-08-11
1253,ワインと熟成牛タン 刻 ～Toki～,福井県福井市若杉1-2921 エリジオン若杉101,2021-08-11
