認証番号,店名,住所,更新日,townid,geo3x3
0170,テキサスハンズ 春江店,福井県福井市石盛町915-1,2021-08-11,E9138739188,E9138739178632
0171,カリーゲイツ ダンダダ,福井県越前市千福町123,2021-08-11,E9138498468,E9138498495283
0172,憩い処 みなみ,福井県坂井市三国町山王3-5-26,2021-08-11,E913876242,E9138762438944
0174,手打ちそば 雪花,福井県敦賀市谷25-2-4,2021-08-11,E913846752,E9138467543696
0175,うなぎ 淡水,福井県三方上中郡若狭町鳥浜127-13-4,2021-08-11,E9138455461,E9138455448999
0177,㐂の葉,福井県福井市中藤新保町14-1-24,2021-08-11,E913873924,E9138739246973
0178,ホテル せくみ屋,福井県小浜市小浜白鬚113,2021-08-11,E91384437379,E9138443738775
0179,大宮亭,福井県坂井市丸岡町里丸岡3-10,2021-08-11,E91387399428,E9138739679265
0180,栄庵,福井県越前市沢町22,2021-08-11,E9138498494,E9138498498419
0182,Win,福井県大野市弥生町3-2,2021-08-11,E9138813813,E9138813813644
0184,かく屋,福井県丹生郡越前町織田85-54,2021-08-11,E913873142,E9138731416675
0185,春乃家,福井県鯖江市新横江2-3-27-2,2021-08-11,E9138732354,E9138732357631
0187,レストラン 若樹,福井県福井市若杉3-910,2021-08-11,E91387356484,E9138735647258
0190,和風レストラン くるま屋,福井県三方上中郡若狭町安賀里75-1-6,2021-08-11,E913845166,E9138452481731
0191,モノ カフェ パール エスポワール,福井県越前市瓜生町5-1-1,2021-08-11,E9138498898,E9138732236649
0192,ASARI,福井県鯖江市神明町2-10-17,2021-08-11,E9138732593,E9138732596581
0193,エスポワール 福井店,福井県福井市高木中央3-314,2021-08-11,E9138736799,E9138736799534
0194,和田屋,福井県福井市今市町1-9,2021-08-11,E9138735329,E9138735322121
0195,鉄板焼居酒屋 笑兵衛,福井県敦賀市白銀町5-22 白銀ビル1F,2021-08-11,E9138467495,E9138467495
0196,お食事処 よしだ,福井県鯖江市住吉町3-5-15,2021-08-11,E9138732267,E9138732264862
0197,食と物 手造りギャラリー よってこ,福井県越前市新在家町9-21-2,2021-08-11,E9138499845,E9138499845174
0198,森六,福井県越前市粟田部町26-20,2021-08-11,E9138499768,E9138499768585
0199,リスボンエイト,福井県越前市中央2-6-13,2021-08-11,E9138498736,E9138498735253
0200,ピッツェリア フェリーチェ,福井県福井市北四ツ居1-26-19,2021-08-11,E9138736812,E9138736812874
0201,テキサスハンズ 丸岡店,福井県坂井市丸岡町一本田中29-2-1 2F,2021-08-11,E9138739834,E9138739838814
0202,田野屋,福井県大野市陽明町1-802-5,2021-08-11,E9138813819,E9138813843255
0203,ドミノ・ピザ 福井和田東店,福井県福井市和田東2-1003,2021-08-11,E9138736546,E9138736545962
0204,31アイスクリーム エルパ福井店,福井県福井市大和田2-1212,2021-08-11,E9138739219,E9138739216677
0206,かつ時 敦賀店,福井県敦賀市市野々町1-13,2021-08-11,E91384674157,E9138467414258
0209,モーモー亭,福井県三方上中郡若狭町井ノ口29-32-1,2021-08-11,E913845153,E9138451535432
0211,シシリア,福井県福井市大宮6-13-9,2021-08-11,E9138735958,E9138735957974
0212,OUCHI CAFÉ MUC,福井県坂井市坂井町上新庄13-8-15,2021-08-11,E913873975,E9138739758896
0214,かんぽの宿 福井,福井県福井市渕町43-17,2021-08-11,E9138735619,E9138735619568
0215,鉄板料理 薫風,福井県福井市日之出5-14-10,2021-08-11,E91387367263,E9138736734228
0216,ごはん屋 和,福井県福井市東森田2-108,2021-08-11,,E9138739279899
0218,レストラン ジャルダン,福井県福井市文京4-28-16,2021-08-11,E9138735965,E9138735967661
0221,魚屋の喰い処 まつ田,福井県福井市蒲生町16-7-1,2021-08-11,E913872629,E9138726286786
0222,福井ウクレレクラスタ 楽音,福井県福井市文京3-1-29 杉森ビル1F,2021-08-11,E9138735966,E9138735963934
0223,焼肉処 新羅,福井県福井市渕2-1401,2021-08-11,E9138735617,E9138735617115
0224,湯上りだいにんぐ さいさい,福井県福井市渕2-1401,2021-08-11,E9138735617,E9138735617115
0225,三河屋,福井県越前市蓬莱町3-25-1,2021-08-11,E91384988162,E9138498816517
0226,中華そば 一力,福井県敦賀市中央町1-13-21,2021-08-11,E9138467473,E9138467472641
0228,串よろし,福井県福井市南四ツ居1-1-36 URビル1F南,2021-08-11,E91387365784,E9138736577735
0229,焼肉 じゃがいも,福井県福井市高木2-901,2021-08-11,E9138739122,E9138739125388
0231,居酒屋 晩酌,福井県越前市広瀬町132-28-1,2021-08-11,E91384976,E9138498482141
0232,御料理 半兵衛,福井県坂井市丸岡町南横地21-17,2021-08-11,E9138739519,E9138739527731
0234,鉄板焼 にしやま亭,福井県鯖江市長泉寺町1-9-15,2021-08-11,E9138732378,E9138732611355
0235,みそカフェ misola,福井県福井市春山2-25-1 みそ楽2F,2021-08-11,E91387367147,E9138736717614
0237,魚菜園,福井県福井市順化1-18-8 開明ビル1F,2021-08-11,E9138736711,E9138736711896
0239,King's 8 Diner,福井県坂井市丸岡町谷町2-34,2021-08-11,E91387399142,E9138739911847
0240,スナック 桑港,福井県小浜市小浜酒井1-25,2021-08-11,E91384437386,E9138443738683
0241,立ち呑み ゴールデン,福井県鯖江市本町2-1-8,2021-08-11,E91387322935,E91387322935
0242,ドライブイン やまだ,福井県三方上中郡若狭町成出22-1-1,2021-08-11,E9138454659,E9138454669195
0243,カフェ モカジジ,福井県福井市東森田3-1601,2021-08-11,,E9138739521381
0244,やき処 志喜,福井県福井市安田町82-1,2021-08-11,E9138735734,E9138735723161
0245,手打そば 蘭敷,福井県南条郡南越前町湯尾56-6-2,2021-08-11,E913849552,E9138495619959
0246,みくに隠居処,福井県坂井市三国町宿3-7-22,2021-08-11,E913876242,E9138762475571
0247,串酒場 はっさく,福井県小浜市大手町7-36,2021-08-11,E9138443739,E9138443763213
0248,台湾料理 昇龍,福井県敦賀市木崎13-28,2021-08-11,E913845966,E9138459669287
0249,本手打ちそば 山楽,福井県越前市横市町1-5-5,2021-08-11,E9138498943,E9138498942372
0250,Speranza Fiore,福井県敦賀市木崎32-3-1,2021-08-11,E913845966,E9138459668332
0251,今庄そば道場,福井県南条郡南越前町大門10-3-1,2021-08-11,E913849296,E9138492959275
0257,うみからテラス,福井県大飯郡高浜町塩土5-1,2021-08-11,E9137663934,E9137663934759
0258,UMIKARA select,福井県大飯郡高浜町塩土5-1,2021-08-11,E9137663934,E9137663934759
0260,Tenda Rossa,福井県福井市高柳3-3208,2021-08-11,E91387391393,E9138739139566
0261,サルビア,福井県吉田郡永平寺町東古市16-48,2021-08-11,E9138817218,E9138817217764
0262,うなぎや,福井県福井市高木中央2-4118,2021-08-11,E9138739132,E9138736798624
0263,一季,福井県福井市新保1-1613,2021-08-11,E9138736848,E9138736849514
0264,いこい食堂,福井県丹生郡越前町厨10-33,2021-08-11,E913848988,E9138723215163
0265,京風庵 芳家,福井県鯖江市松成町3-73,2021-08-11,E9138733424,E9138733424922
0266,井の上,福井県吉田郡永平寺町志比28-2,2021-08-11,E91388146,E9138814596494
0267,炭火串焼き串揚げ 一克,福井県勝山市本町1-4-4,2021-08-11,E91388165796,E9138816579258
0268,かんすけ,福井県鯖江市小黒町1-3-28,2021-08-11,E91387325321,E9138732286947
0269,焼肉ダイニング アリラン,福井県福井市舟橋新1-204,2021-08-11,E91387383389,E9138738339471
0270,さのや 開発店,福井県福井市開発1-127,2021-08-11,E9138736766,E9138736763786
0271,城小屋 マルコ,福井県坂井市丸岡町霞町1-25,2021-08-11,E91387399173,E9138739917337
0272,居酒屋 てきさす,福井県小浜市小浜酒井1-83,2021-08-11,E91384437386,E9138443738653
0276,スナック 舞,福井県敦賀市清水町1-19-10 千年ビル1F,2021-08-11,E9138467733,E9138467733
0280,旬食彩 つぼみ,福井県越前市平出2-4-11,2021-08-11,E9138498844,E9138498763686
0283,ベラドーナ,福井県小浜市駅前町19-40 ニュー五番街3F,2021-08-11,E9138443736,E9138443814724
0284,海鮮アトム 鯖江店,福井県鯖江市柳町4-7-1,2021-08-11,E91387323756,E9138732375668
0285,海鮮アトム 敦賀若葉店,福井県敦賀市若葉町2-1702,2021-08-11,E9138467417,E9138459639996
0286,ウエルズ,福井県福井市田原1-12-7,2021-08-11,E9138736742,E9138736741685
0287,大衆割烹 蕗,福井県越前市芝原5-5-39,2021-08-11,E9138498877,E9138498874863
0288,海鮮アトム 武生店,福井県越前市新町4字常淵10-1,2021-08-11,E9138498734,E9138498735874
0289,たじべえ,福井県越前市岡本町15-3-2,2021-08-11,E9138498488,E9138498722631
0290,わらび 稲寄店,福井県越前市稲寄町26-1,2021-08-11,E9138498896,E9138498977338
0291,ベルサイドカフェ 越前大野店,福井県大野市蕨生137-21-1 道の駅越前おおの荒島の郷内,2021-08-11,E913882146,E9138821473397
0292,秋吉 三国店,福井県坂井市三国町楽円53-21-4,2021-08-11,E913876242,E9138762511921
0294,サニースマイル,福井県福井市下六条14-1 福井県生活学習館内1F,2021-08-11,E9138736194,E9138736423354
0295,永平寺親禅の宿 柏樹關,福井県吉田郡永平寺町志比6-1,2021-08-11,E91388146,E9138814671287
0297,敦賀ふぐの宿 なかい,福井県敦賀市色浜30-6,2021-08-11,E913848367,E9138483685557
0298,居酒屋 味処 八八,福井県あわら市舟津31-9-1,2021-08-11,E9138762911,E9138762596983
0299,白山さんち,福井県越前市上杉本町11-7,2021-08-11,E913849745,E9138497449279
0300,コメダ珈琲店 武生店,福井県越前市芝原5-3-8,2021-08-11,E9138498877,E9138498796398
0301,コメダ珈琲店 鯖江店,福井県鯖江市神明町3-10-20,2021-08-11,E9138732596,E9138732598313
0302,炭火焼肉屋 さかい 武生店,福井県越前市庄町1-9,2021-08-11,E913849892,E9138498942896
0303,８番らーめん 鯖江東店,福井県鯖江市東鯖江1-112,2021-08-11,E9138732373,E9138732373263
0305,８番らーめん 国高店,福井県越前市庄町1-7,2021-08-11,E913849892,E9138498945236
0308,なか卯 福井社店,福井県福井市若杉2-1535,2021-08-11,E9138735671,E9138735671881
0309,なか卯 鯖江五郎丸店,福井県鯖江市横江町2-6-9,2021-08-11,E9138732348,E9138732345882
0310,green parluur ベルベール,福井県鯖江市小黒町1-5-3,2021-08-11,E91387325321,E9138732286997
0311,手づくり工房 コスモス（クッキー＆カフェ サニースマイル）,福井県福井市田尻栃谷町38-46-5,2021-08-11,E9138735512,E9138735513152
0312,民宿 冨士,福井県坂井市三国町梶38-37-5,2021-08-11,E913876242,E9138762786856
0313,ソースかつ丼 福井家 城東店,福井県福井市城東4-29-5,2021-08-11,E9138736495,E9138736498261
0314,スシロー 春江店,福井県坂井市春江町随応寺24-6-3,2021-08-11,E9138739445,E9138739446854
0315,スシロー 鯖江店,福井県鯖江市下河端町23-4-1,2021-08-11,E9138732654,E9138732645851
0316,スシロー 福井若杉店,福井県福井市若杉1-3015,2021-08-11,E9138735674,E9138735674236
0317,スシロー 福井米松店,福井県福井市米松1-16-38,2021-08-11,E9138736733,E9138736811444
0319,越前そばの里,福井県越前市真柄町7-37,2021-08-11,E9138498936,E9138498937384
0320,わらび 花堂本店,福井県福井市花堂南2-1-6,2021-08-11,E9138735399,E9138735399946
0321,わらび 鯖江店,福井県鯖江市小黒町1-5-16,2021-08-11,E91387325321,E9138732289293
0323,わらび 高木店,福井県福井市高木町52-28-1,2021-08-11,E9138739124,E9138739126573
0324,三国サンセットビーチ 海の家 ダイヤモンドヘッド,福井県坂井市三国町米ヶ脇4-4-28 三国サンセットビーチ北側,2021-08-11,E913876242,E9138762475423
0326,テキサスハンズ やしろ店,福井県福井市江守中1-1809,2021-08-11,E9138735379,E9138735613249
0327,四季食彩 萩,福井県福井市下馬3-1507-1,2021-08-11,E9138736434,E9138736434945
0328,道の駅 シーサイド高浜,福井県大飯郡高浜町下車持46-10,2021-08-11,E913766535,E9138441822733
0329,Bar LOOFAH,福井県大飯郡高浜町宮崎86-41-16,2021-08-11,E91376636981,E9137663923275
0330,莨屋旅館跡 お料理 与志多,福井県福井市照手1-14-4,2021-08-11,E91387359337,E9138735932927
